lr;epoch;iteration;global_iteration
4.909060846560847e-05;13;54;782
4.908234126984127e-05;13;55;783
4.9074074074074075e-05;13;56;784
4.906580687830688e-05;14;1;785
4.905753968253968e-05;14;2;786
4.904927248677249e-05;14;3;787
4.904100529100529e-05;14;4;788
4.9032738095238094e-05;14;5;789
4.90244708994709e-05;14;6;790
4.9016203703703705e-05;14;7;791
4.900793650793651e-05;14;8;792
4.899966931216932e-05;14;9;793
4.899140211640212e-05;14;10;794
4.898313492063492e-05;14;11;795
4.897486772486773e-05;14;12;796
4.896660052910053e-05;14;13;797
4.8958333333333335e-05;14;14;798
4.8950066137566144e-05;14;15;799
4.894179894179895e-05;14;16;800
4.893353174603175e-05;14;17;801
4.892526455026455e-05;14;18;802
